experiment_name,condition,round,cooperation_rate,defection_rate,avg_reputation,reputation_variance,avg_temperature,avg_payoff,social_welfare,action_entropy
rex_baseline,fixed_high_temperature,1,0.6,0.4,0.48200000000000004,0.011615999999999991,0.8,2.4,48.0,0.6730116670092565
rex_baseline,fixed_high_temperature,2,0.8,0.2,0.5117999999999999,0.016903679999999987,0.672,2.7,54.0,0.5004024235381879
rex_baseline,fixed_high_temperature,3,0.8,0.2,0.5338312,0.01575492868095999,0.64,2.8,56.0,0.5004024235381879
rex_baseline,fixed_high_temperature,4,0.85,0.15,0.5636541599999999,0.014150533593983997,0.592,2.85,57.0,0.42270908780599087
rex_baseline,fixed_high_temperature,5,0.65,0.35,0.5454461148799999,0.02342511634703447,0.656,2.55,51.0,0.6474466390346325
rex_baseline,fixed_high_temperature,6,0.75,0.25,0.5519825926208,0.02625758642238536,0.608,2.75,55.0,0.5623351446188083
rex_baseline,fixed_high_temperature,7,0.45,0.55,0.49329759381107197,0.03824898104438771,0.64,2.15,43.0,0.6881388137135884
rex_baseline,fixed_high_temperature,8,0.7,0.3,0.5008293855170739,0.042490893133269605,0.576,2.6,52.0,0.6108643020548935
rex_baseline,fixed_high_temperature,9,0.85,0.15,0.5414131766900403,0.04389414128050506,0.576,2.75,55.0,0.42270908780599087
rex_baseline,fixed_high_temperature,10,0.8,0.2,0.5596723245067181,0.036741009957856244,0.576,2.8,56.0,0.5004024235381879
rex_baseline,fixed_high_temperature,11,0.65,0.35,0.5392262417087201,0.03169766816518128,0.624,2.45,49.0,0.6474466390346325
rex_baseline,fixed_high_temperature,12,0.55,0.45,0.5060159639058099,0.04220202438912695,0.624,2.35,47.0,0.6881388137135884
rex_baseline,fixed_high_temperature,13,0.85,0.15,0.5415181457389774,0.03394655261032168,0.576,2.85,57.0,0.42270908780599087
rex_baseline,fixed_high_temperature,14,0.7,0.3,0.5396770031431901,0.038273493453832234,0.576,2.6,52.0,0.6108643020548935
rex_baseline,fixed_high_temperature,15,0.6,0.4,0.5123228941604753,0.033404955645323406,0.576,2.4,48.0,0.6730116670092565
rex_baseline,fixed_high_temperature,16,0.65,0.35,0.5062409646083574,0.03782186575261947,0.592,2.55,51.0,0.6474466390346325
rex_baseline,fixed_high_temperature,17,0.7,0.3,0.510788923746758,0.038862270853951816,0.576,2.6,52.0,0.6108643020548935
rex_baseline,fixed_high_temperature,18,0.85,0.15,0.5470310775077233,0.03599676745028202,0.5439999999999999,2.85,57.0,0.42270908780599087
rex_baseline,fixed_high_temperature,19,0.8,0.2,0.567738826964468,0.03945786895583863,0.608,2.8,56.0,0.5004024235381879
rex_baseline,fixed_high_temperature,20,0.6,0.4,0.5339810083307248,0.035380953768472154,0.656,2.5,50.0,0.6730116670092565
rex_baseline,fixed_high_temperature,21,0.85,0.15,0.5667108109046486,0.034964726393192425,0.608,2.85,57.0,0.42270908780599087
rex_baseline,fixed_high_temperature,22,0.85,0.15,0.5927109015903385,0.030264872451982998,0.608,2.85,57.0,0.42270908780599087
rex_baseline,fixed_high_temperature,23,0.75,0.25,0.5931553189115722,0.03535728538102419,0.624,2.65,53.0,0.5623351446188083
rex_baseline,fixed_high_temperature,24,0.75,0.25,0.5941286609145501,0.03918971330266092,0.656,2.75,55.0,0.5623351446188083
rex_baseline,fixed_high_temperature,25,0.65,0.35,0.5735852779002764,0.047557585725138934,0.64,2.55,51.0,0.6474466390346325
rex_baseline,fixed_high_temperature,26,0.75,0.25,0.5742461239568837,0.041243568912658075,0.624,2.75,55.0,0.5623351446188083
