experiment_name,condition,round,cooperation_rate,defection_rate,avg_reputation,reputation_variance,avg_temperature,avg_payoff,social_welfare,action_entropy
rex_baseline,reputation_linear,1,0.65,0.35,0.493,0.011010999999999991,0.5,2.55,51.0,0.6474466390346325
rex_baseline,reputation_linear,2,0.8,0.2,0.52126,0.017264484399999985,0.4384,2.7,54.0,0.5004024235381879
rex_baseline,reputation_linear,3,0.85,0.15,0.5540084,0.01710218002223999,0.43484,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,4,0.85,0.15,0.581006552,0.016376921552569534,0.42909600000000003,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,5,0.65,0.35,0.55924971344,0.024713957456469374,0.473381832,2.55,51.0,0.6474466390346325
rex_baseline,reputation_linear,6,0.75,0.25,0.5638536873823999,0.028566517642050794,0.432706330176,2.75,55.0,0.5623351446188083
rex_baseline,reputation_linear,7,0.55,0.45,0.527005405112128,0.04352472362221989,0.44883392908096004,2.45,49.0,0.6881388137135884
rex_baseline,reputation_linear,8,0.8,0.2,0.5504671721002381,0.04416309796136051,0.40232395997470716,2.7,54.0,0.5004024235381879
rex_baseline,reputation_linear,9,0.9,0.1,0.590609948349257,0.03690180206747612,0.42573481565830795,2.9,58.0,0.3250829733914482
rex_baseline,reputation_linear,10,0.8,0.2,0.6003696206696981,0.03310961007804535,0.43027283105949127,2.8,56.0,0.5004024235381879
rex_baseline,reputation_linear,11,0.65,0.35,0.5718199820994733,0.029982361679324453,0.4644305166533023,2.45,49.0,0.6474466390346325
rex_baseline,reputation_linear,12,0.7,0.3,0.5621840780253112,0.03307361837393652,0.43741747027173894,2.5,50.0,0.6108643020548935
rex_baseline,reputation_linear,13,0.9,0.1,0.5971079262122039,0.020885542692498905,0.41424424567884166,2.9,58.0,0.3250829733914482
rex_baseline,reputation_linear,14,0.7,0.3,0.584972241798269,0.030480488968590642,0.4129789998295309,2.6,52.0,0.6108643020548935
rex_baseline,reputation_linear,15,0.6,0.4,0.5489495876564956,0.030840901828248328,0.43336515052725055,2.4,48.0,0.6730116670092565
rex_baseline,reputation_linear,16,0.8,0.2,0.5665650193309554,0.027506086334280776,0.4182888988253202,2.8,56.0,0.5004024235381879
rex_baseline,reputation_linear,17,0.7,0.3,0.5608666323008806,0.03477889165661034,0.4129144325076359,2.6,52.0,0.6108643020548935
rex_baseline,reputation_linear,18,0.95,0.05,0.609659991608883,0.025511504199058538,0.39923525919674907,2.95,59.0,0.1985152433458726
rex_baseline,reputation_linear,19,0.8,0.2,0.6183067876605703,0.030832201904781975,0.4790686579247813,2.8,56.0,0.5004024235381879
rex_baseline,reputation_linear,20,0.7,0.3,0.5974269843041666,0.027150295042264027,0.48562626946606124,2.6,52.0,0.6108643020548935
rex_baseline,reputation_linear,21,0.9,0.1,0.631354497855042,0.02725391197873427,0.46046504204943633,2.9,58.0,0.3250829733914482
rex_baseline,reputation_linear,22,0.85,0.15,0.6462465307038894,0.02493531768644265,0.4780183937567755,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,23,0.75,0.25,0.6366248043251275,0.0319192086569319,0.49469271158612604,2.65,53.0,0.5623351446188083
rex_baseline,reputation_linear,24,0.8,0.2,0.6383950147301791,0.030145125081298525,0.5047617946433809,2.8,56.0,0.5004024235381879
rex_baseline,reputation_linear,25,0.65,0.35,0.6030368195708071,0.029880699304881568,0.48286005564147283,2.55,51.0,0.6474466390346325
rex_baseline,reputation_linear,26,0.85,0.15,0.6211119113866601,0.023237367451442,0.4420540131846125,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,27,0.85,0.15,0.6403303896467685,0.028080141089599768,0.45680432627264944,2.75,55.0,0.42270908780599087
rex_baseline,reputation_linear,28,0.7,0.3,0.617652068265188,0.03127839575995593,0.4926562736441025,2.6,52.0,0.6108643020548935
rex_baseline,reputation_linear,29,0.7,0.3,0.5968988333405038,0.027980640854221684,0.4734891763225484,2.7,54.0,0.6108643020548935
rex_baseline,reputation_linear,30,0.75,0.25,0.591465982105876,0.02302135660513079,0.4177807995293902,2.65,53.0,0.5623351446188083
rex_baseline,reputation_linear,31,0.7,0.3,0.5765691093006189,0.02141699761664224,0.4109970456794464,2.6,52.0,0.6108643020548935
rex_baseline,reputation_linear,32,0.75,0.25,0.576380951363799,0.022257042112538275,0.4368719094107328,2.75,55.0,0.5623351446188083
rex_baseline,reputation_linear,33,0.75,0.25,0.5781666807353197,0.027183399366890144,0.4159356090576775,2.65,53.0,0.5623351446188083
rex_baseline,reputation_linear,34,0.7,0.3,0.5685748320263346,0.03143018985765422,0.43124474498059895,2.7,54.0,0.6108643020548935
rex_baseline,reputation_linear,35,0.65,0.35,0.5415119789891977,0.01875323551662676,0.44945686776777904,2.65,53.0,0.6474466390346325
rex_baseline,reputation_linear,36,0.6,0.4,0.5123226956152886,0.01696939761769094,0.3779756307731645,2.3,46.0,0.6730116670092565
rex_baseline,reputation_linear,37,0.75,0.25,0.5268257696819559,0.02481846712192416,0.3387269939625924,2.75,55.0,0.5623351446188083
rex_baseline,reputation_linear,38,0.9,0.1,0.5686059791824079,0.018348226225258477,0.39220896093768765,2.9,58.0,0.3250829733914482
rex_baseline,reputation_linear,39,0.85,0.15,0.5970968381226204,0.025581408551376177,0.4238268832888057,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,40,0.85,0.15,0.6177818011812108,0.023789113015480205,0.4949042143227147,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,41,0.7,0.3,0.5934642114885674,0.014076171392474742,0.5141123346121919,2.6,52.0,0.6108643020548935
rex_baseline,reputation_linear,42,0.8,0.2,0.6022138524913797,0.015983638291686347,0.44446152275387785,2.7,54.0,0.5004024235381879
rex_baseline,reputation_linear,43,0.75,0.25,0.597782222792328,0.019245368115631947,0.44756510226327323,2.75,55.0,0.5623351446188083
rex_baseline,reputation_linear,44,0.9,0.1,0.6310995011730213,0.019919459816747045,0.44671267740251663,2.8,56.0,0.3250829733914482
rex_baseline,reputation_linear,45,0.65,0.35,0.5988181484221546,0.02763668159150175,0.4868995074278909,2.65,53.0,0.6474466390346325
rex_baseline,reputation_linear,46,0.9,0.1,0.631098201655929,0.024529002320605266,0.4520678838724927,2.9,58.0,0.3250829733914482
rex_baseline,reputation_linear,47,0.5,0.5,0.5639525450886044,0.03458517123707614,0.478740335792159,2.3,46.0,0.6931471805599453
rex_baseline,reputation_linear,48,0.9,0.1,0.5987870902213678,0.02275857483619079,0.4056554936742166,2.9,58.0,0.3250829733914482
rex_baseline,reputation_linear,49,0.75,0.25,0.597704984165621,0.03052164332164812,0.4156640488418148,2.75,55.0,0.5623351446188083
rex_baseline,reputation_linear,50,0.75,0.25,0.5934421969814495,0.02738108738558829,0.4286189375590407,2.65,53.0,0.5623351446188083
rex_baseline,reputation_linear,51,0.75,0.25,0.5849970307785134,0.012880368828003457,0.4581876814230215,2.75,55.0,0.5623351446188083
rex_baseline,reputation_linear,52,0.85,0.15,0.604951265104894,0.009244213387939126,0.4051336538598388,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,53,0.65,0.35,0.5736575596423436,0.010311075012467957,0.42165715394420467,2.65,53.0,0.6474466390346325
rex_baseline,reputation_linear,54,0.8,0.2,0.5859523086135182,0.013808721569233925,0.38498747986447235,2.8,56.0,0.5004024235381879
rex_baseline,reputation_linear,55,0.85,0.15,0.6068139773977393,0.012448527672039687,0.43016178804772764,2.85,57.0,0.42270908780599087
rex_baseline,reputation_linear,56,0.9,0.1,0.6369257253379276,0.011101632286480473,0.4276925543842659,2.9,58.0,0.3250829733914482
