experiment_name,condition,round,cooperation_rate,defection_rate,avg_reputation,reputation_variance,avg_temperature,avg_payoff,social_welfare,action_entropy
test_minimal,reputation_piecewise,1,0.8,0.2,0.526,0.007743999999999994,0.5,2.8,28.0,0.5004024235381879
test_minimal,reputation_piecewise,2,0.7,0.3,0.5265199999999999,0.018358713599999986,0.45999999999999996,2.7,27.0,0.6108643020548935
test_minimal,reputation_piecewise,3,0.7,0.3,0.5242568,0.020515449807359996,0.40199999999999997,2.5,25.0,0.6108643020548935
test_minimal,reputation_piecewise,4,0.8,0.2,0.544891056,0.019953098410742783,0.362,2.8,28.0,0.5004024235381879
test_minimal,reputation_piecewise,5,0.9,0.1,0.58571830176,0.019054397135883833,0.45499999999999996,2.9,29.0,0.3250829733914482
test_minimal,reputation_piecewise,6,0.9,0.1,0.6214012959936,0.021105926925991354,0.475,2.9,29.0,0.3250829733914482
test_minimal,reputation_piecewise,7,0.6,0.4,0.583564051065984,0.03748276631397183,0.495,2.6,26.0,0.6730116670092565
test_minimal,reputation_piecewise,8,0.8,0.2,0.5967591772652006,0.03761583751985672,0.477,2.8,28.0,0.5004024235381879
test_minimal,reputation_piecewise,9,0.7,0.3,0.5797386223811725,0.03222841222661306,0.48200000000000004,2.5,25.0,0.6108643020548935
test_minimal,reputation_piecewise,10,0.8,0.2,0.5951394146926128,0.038600914297700795,0.41,2.8,28.0,0.5004024235381879
test_minimal,reputation_piecewise,11,0.6,0.4,0.5534858258939825,0.029065845412111834,0.5,2.6,26.0,0.6730116670092565
test_minimal,reputation_piecewise,12,0.8,0.2,0.5679552484965167,0.024709382598948868,0.39,2.8,28.0,0.5004024235381879
test_minimal,reputation_piecewise,13,0.7,0.3,0.5630599956137116,0.037246006732755285,0.41,2.5,25.0,0.6108643020548935
test_minimal,reputation_piecewise,14,0.9,0.1,0.5970774398358024,0.022083154315292886,0.41,2.9,29.0,0.3250829733914482
test_minimal,reputation_piecewise,15,0.8,0.2,0.6015520906638827,0.011813070047021215,0.425,2.8,28.0,0.5004024235381879
