experiment_name,condition,round,num_seeds,cooperation_rate_mean,cooperation_rate_ci95,defection_rate_mean,defection_rate_ci95,avg_reputation_mean,avg_reputation_ci95,reputation_variance_mean,reputation_variance_ci95,avg_temperature_mean,avg_temperature_ci95,avg_payoff_mean,avg_payoff_ci95,social_welfare_mean,social_welfare_ci95,action_entropy_mean,action_entropy_ci95
test_minimal,reputation_piecewise,1,5,0.68,0.1568,0.32,0.1568,0.4996,0.034496,0.009293,0.002884,0.5,0.0,2.56,0.244804,25.6,2.448039,0.564529,0.136272
test_minimal,reputation_piecewise,2,5,0.82,0.09602,0.18,0.09602,0.528744,0.043655,0.009981,0.004793,0.436,0.03136,2.78,0.130012,27.8,1.300117,0.422414,0.211187
test_minimal,reputation_piecewise,3,5,0.82,0.114287,0.18,0.114287,0.554061,0.059905,0.011584,0.006651,0.4004,0.042949,2.78,0.168606,27.8,1.686056,0.409443,0.225261
test_minimal,reputation_piecewise,4,5,0.8,0.061981,0.2,0.061981,0.571353,0.044248,0.018235,0.005203,0.3768,0.054241,2.72,0.14403,27.2,1.4403,0.487431,0.089923
test_minimal,reputation_piecewise,5,5,0.8,0.138593,0.2,0.138593,0.582356,0.011149,0.016888,0.004814,0.4944,0.069362,2.76,0.201794,27.6,2.017944,0.421872,0.236949
test_minimal,reputation_piecewise,6,5,0.74,0.146673,0.26,0.146673,0.579942,0.031022,0.020385,0.004138,0.456,0.019452,2.7,0.214707,27.0,2.147072,0.513008,0.153227
test_minimal,reputation_piecewise,7,5,0.8,0.138593,0.2,0.138593,0.59473,0.037434,0.027001,0.009423,0.4294,0.04573,2.76,0.181763,27.6,1.817629,0.421872,0.236949
test_minimal,reputation_piecewise,8,5,0.78,0.073336,0.22,0.073336,0.599656,0.04532,0.02666,0.00908,0.4592,0.0316,2.74,0.132934,27.4,1.329337,0.509523,0.102526
test_minimal,reputation_piecewise,9,5,0.72,0.073336,0.28,0.073336,0.588494,0.039738,0.02613,0.00495,0.4592,0.041017,2.6,0.163985,26.0,1.639854,0.579109,0.06679
test_minimal,reputation_piecewise,10,5,0.78,0.073336,0.22,0.073336,0.593815,0.031753,0.025894,0.008487,0.4512,0.068087,2.78,0.073336,27.8,0.733365,0.509523,0.102526
test_minimal,reputation_piecewise,11,5,0.74,0.099941,0.26,0.099941,0.586287,0.028326,0.021023,0.005743,0.4494,0.05477,2.7,0.138593,27.0,1.385929,0.544045,0.120353
test_minimal,reputation_piecewise,12,5,0.82,0.073336,0.18,0.073336,0.602886,0.023349,0.024371,0.003784,0.422,0.03622,2.78,0.114287,27.8,1.142867,0.452367,0.10925
test_minimal,reputation_piecewise,13,5,0.74,0.181763,0.26,0.181763,0.598457,0.047742,0.028507,0.007676,0.4498,0.033586,2.66,0.267308,26.6,2.673084,0.486889,0.140353
test_minimal,reputation_piecewise,14,5,0.78,0.073336,0.22,0.073336,0.600687,0.034731,0.025174,0.006992,0.4718,0.07307,2.74,0.099941,27.4,0.999408,0.509523,0.102526
test_minimal,reputation_piecewise,15,5,0.74,0.1176,0.26,0.1176,0.593793,0.046026,0.022529,0.007779,0.4724,0.055963,2.66,0.211098,26.6,2.110985,0.534382,0.127439
test_minimal,reputation_piecewise,16,5,0.88,0.09602,0.12,0.09602,0.623264,0.042888,0.023385,0.009964,0.4372,0.043964,2.88,0.09602,28.8,0.9602,0.300241,0.240243
